"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,5939002,5939029,28,952.8,433.1,976.9,498.3,1.81,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5939266,5939293,28,963.1,493.3,847.4,522.4,3.1,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5939475,5939512,38,839.5,533.5,825.4,622.8,2.35,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5939771,5939816,46,815.5,633.2,914.1,756.3,4.08,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5940598,5940657,60,906.1,777.6,665.8,435.7,10.75,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5940899,5940915,17,672,426.5,630.5,419.2,1.07,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5941291,5941330,40,617.4,423.8,841.8,300.1,6.55,"1001.jpg",5938742,5939001,FALSE,FALSE
1,5941654,5941684,31,844.2,313.3,867,280.2,1.03,"1001.jpg",5938742,5939001,FALSE,FALSE
2,5943411,5943447,37,854.9,441.9,861.4,484.9,1.13,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5943561,5943584,24,862.6,503.3,795.7,493.2,1.75,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5943892,5943945,54,793.3,515.9,630.9,658,5.54,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5944122,5944153,32,632.1,671.9,579.6,716.1,1.74,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5944442,5944460,19,566,717.1,540,717,0.65,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5944596,5944619,24,536,721.1,613.5,696.4,2.05,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5944777,5944802,26,597.7,695.4,729.7,683.1,3.37,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5945188,5945247,60,721.5,681.6,1316.6,733.7,15.2,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5945551,5945572,22,1318.7,734.8,1339,761.7,0.85,"1006.jpg",5943234,5943410,FALSE,FALSE
2,5946030,5946045,16,1333.8,760.6,1328.8,724,0.94,"1006.jpg",5943234,5943410,FALSE,FALSE
3,5947836,5947858,23,860.6,463.2,848.9,386,2.02,"1094.jpg",5947667,5947835,FALSE,FALSE
