"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,2048566,2048614,49,949,628.4,871.2,718.4,3.08,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2048757,2048813,57,866.3,717.1,548.1,793,8.31,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2049052,2049115,64,529.5,795.3,705.2,400.2,11,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2049540,2049580,41,705,387,928.4,329.9,5.93,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2049797,2049829,33,911.1,331.5,1019.8,302.1,2.91,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2049960,2050007,48,1002.5,302.4,1220.3,255.9,5.71,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2050214,2050281,68,1228.5,253.5,1371.5,700.1,11.91,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2050654,2050674,21,1370.6,719.2,1393.2,774.7,1.52,"1001.jpg",2047813,2048565,FALSE,FALSE
1,2050834,2050912,79,1387.1,759.8,1493.1,428.2,8.78,"1001.jpg",2047813,2048565,FALSE,FALSE
2,2053448,2053497,50,778.7,466.1,682.8,606.6,4.39,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2053758,2053784,27,687.8,618.4,591.8,690.7,3.07,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2054066,2054111,46,613.3,684.4,535.6,703.4,2.01,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2054269,2054316,48,518.5,703.9,752.2,622,6.28,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2054417,2054468,52,759.6,621.5,877.7,430.1,5.83,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2054673,2054721,49,877.9,416.4,1134.3,194.5,8.7,"1006.jpg",2052713,2053447,FALSE,FALSE
2,2055050,2055112,63,1142.5,201.7,1354,520.9,9.74,"1006.jpg",2052713,2053447,FALSE,FALSE
