"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,3425758,3425802,45,698.3,432.3,915.4,331.7,6.15,"1001.jpg",3424404,3425757,FALSE,FALSE
1,3426129,3426165,37,907.9,344.3,1125.2,333.5,5.61,"1001.jpg",3424404,3425757,FALSE,FALSE
1,3426322,3426380,59,1117.7,341.1,1397.2,699.3,11.58,"1001.jpg",3424404,3425757,FALSE,FALSE
1,3426896,3426948,53,1388.8,731.5,1089.3,625.5,8.08,"1001.jpg",3424404,3425757,FALSE,FALSE
1,3427124,3427187,64,1072.6,614.7,815.3,383.6,8.95,"1001.jpg",3424404,3425757,FALSE,FALSE
1,3427413,3427444,32,804.6,390.8,1018.6,522.7,6.51,"1001.jpg",3424404,3425757,FALSE,FALSE
2,3433081,3433117,37,855.9,514.1,683.2,675.1,6.08,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3433324,3433348,25,678.1,674.4,631.4,685.1,1.22,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3433454,3433495,42,628.7,687.5,817.3,495.5,6.92,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3434006,3434052,47,810.6,504.9,664.8,666.5,5.61,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3434448,3434532,85,647.8,690,660.2,650.4,1.06,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3434619,3434662,44,658.9,649.7,807.5,461.5,6.18,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3434848,3434865,18,810.7,470.7,790.1,506.8,1.08,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3435001,3435060,60,797.8,503,1377.8,693.2,15.53,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3435396,3435472,77,1386.2,707.8,1293.6,176.8,13.59,"1006.jpg",3432545,3433080,FALSE,FALSE
2,3435617,3435644,28,1294.4,185.1,1027.6,182.9,6.76,"1006.jpg",3432545,3433080,FALSE,FALSE
3,3439163,3439180,18,902.7,438.6,871,395.2,1.39,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3439435,3439454,20,863.9,387.5,897.4,357.3,1.17,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3439839,3439890,52,891.6,361.4,908.1,670.7,8.01,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3440099,3440306,208,909.3,695.2,884.3,679.9,0.76,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3440552,3440635,84,895.8,689.8,1041.4,277.2,11.28,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3440928,3440978,51,1040,278.6,1364.5,289.7,8.24,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3441190,3441215,26,1376.2,284.5,1469.5,251.3,2.45,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3441443,3441533,91,1455.3,271.4,646.3,315,20.23,"1094.jpg",3438795,3439162,FALSE,FALSE
3,3441781,3441819,39,654.7,319.6,521.4,359.8,3.51,"1094.jpg",3438795,3439162,FALSE,FALSE
4,3446054,3446087,34,762.7,435.6,775.4,296.4,3.6,"1101.jpg",3445595,3446053,FALSE,FALSE
