"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
2,5693675,5693685,11,824.7,533,801.1,537.6,0.62,"1006.jpg",5693080,5693674,FALSE,FALSE
3,5703196,5703214,19,870.9,402.1,862.7,383.6,0.52,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5703486,5703522,37,868.4,367.1,873.4,503.7,3.54,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5703717,5703752,36,877.8,492.1,877.1,673,4.69,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5704214,5704306,93,885.9,658.9,1252.4,325.9,12.73,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5704463,5704489,27,1256.7,326.6,1362.2,286,2.85,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5704711,5704754,44,1353.3,301.8,1183.1,330,4.37,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5704962,5705008,47,1169.2,331.6,931.7,379.7,6.25,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5705134,5705200,67,915.6,383,867,683.6,7.89,"1094.jpg",5702505,5703195,FALSE,FALSE
3,5705551,5705604,54,872.9,669.9,886.7,427,6.31,"1094.jpg",5702505,5703195,FALSE,FALSE
4,5709026,5709055,30,803.3,423,779.7,329.8,2.48,"1101.jpg",5708488,5709025,FALSE,FALSE
4,5709482,5709493,12,776,303.7,784.9,321.9,0.52,"1101.jpg",5708488,5709025,FALSE,FALSE
4,5709679,5709738,60,789.2,325.9,1299,324,12.99,"1101.jpg",5708488,5709025,FALSE,FALSE
4,5710473,5710490,18,1297.7,320.6,1317.6,274.9,1.26,"1101.jpg",5708488,5709025,FALSE,FALSE
4,5710887,5710953,67,1320,261.8,817.7,315.8,12.86,"1101.jpg",5708488,5709025,FALSE,FALSE
5,5716135,5716187,53,1079.9,558.5,1091.6,295.8,6.79,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5716265,5716288,24,1088.8,309.4,1104.3,224.4,2.21,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5717513,5717582,70,1110.1,192.8,1282.7,620.4,11.76,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5717682,5717706,25,1280.9,632.7,1262,699.9,1.79,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5717964,5718062,99,1258,689.4,568.8,653.5,17.47,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5718451,5718497,47,574,662.9,638.9,470,5.21,"1112.jpg",5715772,5716134,FALSE,FALSE
5,5718643,5718687,45,632.6,480.3,828.4,321.9,6.46,"1112.jpg",5715772,5716134,FALSE,FALSE
6,5723051,5723073,23,980,534.1,926.7,545.9,1.42,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5723269,5723335,67,933.2,539.4,1253.1,462.8,8.47,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5723712,5723733,22,1274.7,466.3,1292.9,450.2,0.62,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5724109,5724164,56,1298.3,451.4,1219.2,681.1,6.24,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5724296,5724346,51,1222.5,694.8,994.1,755.1,6.07,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5724651,5724687,37,970,767.5,1166.2,802.6,5.12,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5724851,5724884,34,1153.9,803.7,1328.2,705,5.09,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5725154,5725222,69,1321.9,714,725.3,642.8,15.29,"1118.jpg",5722397,5723050,FALSE,FALSE
6,5725338,5725374,37,721.8,641.6,658.1,621.2,1.71,"1118.jpg",5722397,5723050,FALSE,FALSE
7,5728763,5728788,26,1135,458.8,1148.3,390.9,1.79,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5729347,5729417,71,1153.3,365.6,615.4,368,13.72,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5729855,5729955,101,604.8,366.3,1354.7,327.6,18.89,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5730075,5730110,36,1344.9,328.4,1429,280.6,2.42,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5730361,5730381,21,1441.6,291,1433.3,225.8,1.64,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5730777,5730823,47,1434.4,220.7,1482.4,444.1,5.73,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5731135,5731198,64,1492.5,428.1,1184.8,582.3,8.67,"1132.jpg",5728455,5728762,FALSE,FALSE
7,5731443,5731500,58,1189.3,582.6,953.3,781.4,7.96,"1132.jpg",5728455,5728762,FALSE,FALSE
8,5733954,5733993,40,1050.6,516.9,1137.1,434.4,3.09,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5734166,5734175,10,1133.7,447.4,1116.5,435.5,0.54,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5734551,5734610,60,1123.6,433.7,711.7,634.9,11.81,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5734726,5734775,50,707.9,642.8,510.4,771.5,5.97,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5735048,5735083,36,505.2,775.8,446.7,786.1,1.47,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5735369,5735392,24,438.4,786.1,412,759.7,0.92,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5735678,5735715,38,415.5,752.4,502.5,806.7,2.53,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5735849,5735877,29,511.6,803.1,642.4,841.8,3.42,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5736263,5736311,49,647.8,845.4,415.7,663.9,7.37,"1178.jpg",5733638,5733953,FALSE,FALSE
8,5736567,5736644,78,435.9,675.4,1136.6,354.4,19.42,"1178.jpg",5733638,5733953,FALSE,FALSE
9,5740067,5740113,47,1015.2,518.3,1090.1,354.2,4.67,"1188.jpg",5739738,5740066,FALSE,FALSE
9,5740217,5740259,43,1086.7,367.6,1068.9,229.5,3.58,"1188.jpg",5739738,5740066,FALSE,FALSE
9,5740762,5740819,58,1063.5,235.8,1324.8,498.1,9.45,"1188.jpg",5739738,5740066,FALSE,FALSE
9,5740918,5740932,15,1329.7,508.7,1297.2,507.8,0.82,"1188.jpg",5739738,5740066,FALSE,FALSE
