"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,606762,606781,20,951.1,626.5,894.1,653.7,1.64,"1001.jpg",606128,606761,FALSE,FALSE
1,606979,607032,54,873.6,666.1,1302.1,754.9,11.19,"1001.jpg",606128,606761,FALSE,FALSE
1,607180,607256,77,1296.3,759.9,1285.7,340.7,10.68,"1001.jpg",606128,606761,FALSE,FALSE
1,607513,607587,75,1281.5,349.1,778.7,441,13.08,"1001.jpg",606128,606761,FALSE,FALSE
1,608117,608177,61,782.1,433.3,604.1,751.8,9.35,"1001.jpg",606128,606761,FALSE,FALSE
1,608504,608554,51,588.2,755.4,925.7,732.1,8.64,"1001.jpg",606128,606761,FALSE,FALSE
1,608881,608930,50,919.1,742.5,599.8,791.2,8.24,"1001.jpg",606128,606761,FALSE,FALSE
1,609135,609227,93,602.4,789.5,1249.4,768.5,16.37,"1001.jpg",606128,606761,FALSE,FALSE
2,611408,611447,40,813.9,495.9,730.3,631.8,4.13,"1006.jpg",610612,611407,FALSE,FALSE
2,611780,611806,27,738.7,623.6,818.6,535.1,3.08,"1006.jpg",610612,611407,FALSE,FALSE
2,612106,612180,75,828.6,518.4,1320.4,692.3,13.35,"1006.jpg",610612,611407,FALSE,FALSE
2,612557,612596,40,1335.3,702,1360.6,530.6,4.42,"1006.jpg",610612,611407,FALSE,FALSE
2,612787,612843,57,1360.7,543.5,914.3,478,11.53,"1006.jpg",610612,611407,FALSE,FALSE
2,613082,613102,21,896.5,473.8,835.7,506.9,1.8,"1006.jpg",610612,611407,FALSE,FALSE
2,613590,613631,42,820.7,509.7,831.1,665,4.04,"1006.jpg",610612,611407,FALSE,FALSE
3,615703,615744,42,863,388.1,855.8,187.4,5.15,"1094.jpg",614962,615702,FALSE,FALSE
3,616086,616127,42,855.7,187.7,865.7,320.5,3.41,"1094.jpg",614962,615702,FALSE,FALSE
3,616479,616550,72,870.8,318.7,871.8,611.1,7.57,"1094.jpg",614962,615702,FALSE,FALSE
3,616807,616834,28,865.2,622.4,910.7,707.8,2.51,"1094.jpg",614962,615702,FALSE,FALSE
3,617171,617246,76,890.2,710.2,1322.7,826.2,11.42,"1094.jpg",614962,615702,FALSE,FALSE
3,617507,617574,68,1316.9,833.9,1323.2,404.5,10.91,"1094.jpg",614962,615702,FALSE,FALSE
3,617774,617822,49,1318.8,423.7,1374.1,241.9,4.82,"1094.jpg",614962,615702,FALSE,FALSE
4,620756,620816,61,1312,248.7,791.8,312.2,13.32,"1101.jpg",619745,620755,FALSE,FALSE
4,621311,621339,29,787.8,310.7,811.7,349.5,1.17,"1101.jpg",619745,620755,FALSE,FALSE
4,621483,621557,75,810.9,356.9,1005.8,699.1,10.18,"1101.jpg",619745,620755,FALSE,FALSE
4,621773,621833,61,1003.1,724.2,1282.3,589.2,7.97,"1101.jpg",619745,620755,FALSE,FALSE
4,622273,622331,59,1260,610.8,1044.4,779.5,7.03,"1101.jpg",619745,620755,FALSE,FALSE
4,622565,622622,58,1039.7,786.3,813.5,582.6,7.86,"1101.jpg",619745,620755,FALSE,FALSE
5,624978,625006,29,1090.4,327.6,1077.2,213.3,2.95,"1112.jpg",624503,624977,FALSE,FALSE
5,625321,625409,89,1077.9,197.2,1322.3,741.9,15.17,"1112.jpg",624503,624977,FALSE,FALSE
5,625803,625810,8,1329.6,760.8,1333.8,747.3,0.36,"1112.jpg",624503,624977,FALSE,FALSE
5,625996,626023,28,1327.8,743.4,1465.7,748.1,3.43,"1112.jpg",624503,624977,FALSE,FALSE
5,626213,626271,59,1495.3,750.6,1498.6,363.7,9.71,"1112.jpg",624503,624977,FALSE,FALSE
5,626503,626583,81,1487.8,363.3,1320.2,870.5,13.4,"1112.jpg",624503,624977,FALSE,FALSE
5,626765,626810,46,1314.6,886.4,1019.5,843.4,7.57,"1112.jpg",624503,624977,FALSE,FALSE
5,627048,627082,35,1011.9,849.5,1168.1,949.8,4.72,"1112.jpg",624503,624977,FALSE,FALSE
5,627561,627602,42,1161.5,953.2,1131.3,700.4,6.48,"1112.jpg",624503,624977,FALSE,FALSE
6,630217,630241,25,1031,709.5,955.5,732.4,2.04,"1118.jpg",629662,630216,FALSE,FALSE
6,630398,630423,26,931.6,742.4,842.1,689.8,2.68,"1118.jpg",629662,630216,FALSE,FALSE
6,630842,630886,45,815.9,678.8,917.3,524.7,4.78,"1118.jpg",629662,630216,FALSE,FALSE
6,631114,631167,54,909.7,528,1203.4,592,7.76,"1118.jpg",629662,630216,FALSE,FALSE
6,631445,631483,39,1189.1,587.3,1276.2,728.6,4.26,"1118.jpg",629662,630216,FALSE,FALSE
6,631838,631876,39,1286.3,724.2,1149.2,570,5.29,"1118.jpg",629662,630216,FALSE,FALSE
6,631997,632041,45,1126.3,560,873.1,541.5,6.58,"1118.jpg",629662,630216,FALSE,FALSE
6,632146,632172,27,868.3,541.1,726.6,547.1,3.66,"1118.jpg",629662,630216,FALSE,FALSE
6,632432,632456,25,698.9,562.5,618.3,531.9,2.2,"1118.jpg",629662,630216,FALSE,FALSE
6,632690,632761,72,607.3,494.7,576,745.3,6.46,"1118.jpg",629662,630216,FALSE,FALSE
7,634630,634672,43,1146.8,404.7,1218.3,536.9,3.88,"1132.jpg",633970,634629,FALSE,FALSE
7,635135,635180,46,1220.2,521.9,1307.3,730.7,5.8,"1132.jpg",633970,634629,FALSE,FALSE
7,635406,635482,77,1308.3,717.7,614.8,430.9,19.01,"1132.jpg",633970,634629,FALSE,FALSE
7,635822,635899,78,611.3,431.7,1433.9,615,21.14,"1132.jpg",633970,634629,FALSE,FALSE
7,636099,636118,20,1427.2,614.2,1476.1,635.3,1.32,"1132.jpg",633970,634629,FALSE,FALSE
7,636533,636590,58,1462,622.9,1432.8,340.8,7.17,"1132.jpg",633970,634629,FALSE,FALSE
7,636940,636984,45,1421.9,344.7,1466.9,493,3.92,"1132.jpg",633970,634629,FALSE,FALSE
8,639838,639856,19,1115.5,438.3,1127.4,413,0.72,"1178.jpg",639245,639837,FALSE,FALSE
8,640066,640140,75,1120.9,393.2,1346.6,710.9,9.98,"1178.jpg",639245,639837,FALSE,FALSE
8,640419,640443,25,1347.1,724.9,1443.7,813.8,3.29,"1178.jpg",639245,639837,FALSE,FALSE
8,640706,640753,48,1443.9,833.2,1273.8,648,6.33,"1178.jpg",639245,639837,FALSE,FALSE
8,641141,641177,37,1231,616.8,1142.4,442.5,5.05,"1178.jpg",639245,639837,FALSE,FALSE
8,641577,641655,79,1118.3,417.8,690.7,818.3,15.02,"1178.jpg",639245,639837,FALSE,FALSE
8,642153,642203,51,682.5,815.3,1043.8,810.3,9.24,"1178.jpg",639245,639837,FALSE,FALSE
9,643892,643945,54,1062.8,607.5,1320.3,519.3,6.98,"1188.jpg",643387,643891,FALSE,FALSE
9,644322,644372,51,1309.2,522.4,1106.6,299.2,7.72,"1188.jpg",643387,643891,FALSE,FALSE
9,644815,644834,20,1066.7,275.2,1103.9,293.2,1.06,"1188.jpg",643387,643891,FALSE,FALSE
9,645090,645163,74,1106.2,317.8,1293.8,607.1,8.85,"1188.jpg",643387,643891,FALSE,FALSE
9,645311,645334,24,1290.5,607.4,1283.2,531.8,1.95,"1188.jpg",643387,643891,FALSE,FALSE
9,645512,645551,40,1289,509.6,1119.4,608.8,5.04,"1188.jpg",643387,643891,FALSE,FALSE
9,645868,645920,53,1118.4,608.2,745.2,508.8,9.97,"1188.jpg",643387,643891,FALSE,FALSE
9,646369,646450,82,734.8,496.3,1303.2,777.8,16.18,"1188.jpg",643387,643891,FALSE,FALSE
10,648455,648500,46,931,644.2,814.7,832.3,5.7,"1226.jpg",647887,648454,FALSE,FALSE
10,648798,648832,35,809.6,830.6,730.7,949.7,3.62,"1226.jpg",647887,648454,FALSE,FALSE
10,649147,649184,38,735,941.7,786.9,799.6,3.83,"1226.jpg",647887,648454,FALSE,FALSE
10,649426,649476,51,783.5,808.7,802,538,6.99,"1226.jpg",647887,648454,FALSE,FALSE
10,649675,649743,69,787.4,541.1,1441.6,727.2,17.19,"1226.jpg",647887,648454,FALSE,FALSE
10,650236,650272,37,1437.3,719.6,1250.8,868.2,5.99,"1226.jpg",647887,648454,FALSE,FALSE
10,650495,650549,55,1244.8,870.1,916.9,599.6,10.89,"1226.jpg",647887,648454,FALSE,FALSE
10,650775,650834,60,916.3,604,1229,856.7,10.31,"1226.jpg",647887,648454,FALSE,FALSE
11,654263,654317,55,777,475.3,825.7,786.4,8.12,"1227.jpg",652995,654262,FALSE,FALSE
11,654579,654630,52,826.7,777.3,842.5,583.2,5.03,"1227.jpg",652995,654262,FALSE,FALSE
11,654954,654975,22,835.9,542.7,807.5,490,1.55,"1227.jpg",652995,654262,FALSE,FALSE
11,655150,655217,68,788.8,468,1055.3,813.3,11.23,"1227.jpg",652995,654262,FALSE,FALSE
11,655403,655455,53,1054.5,829.9,1341.2,845.7,7.28,"1227.jpg",652995,654262,FALSE,FALSE
11,655886,655941,56,1330.1,848,904.2,888,10.84,"1227.jpg",652995,654262,FALSE,FALSE
12,660009,660030,22,859,318.7,867.4,248.2,1.82,"1233.jpg",659603,660008,FALSE,FALSE
12,660406,660451,46,856.3,237.1,884.2,410.1,4.51,"1233.jpg",659603,660008,FALSE,FALSE
12,660799,660866,68,896.4,396.5,902.9,677.5,7.28,"1233.jpg",659603,660008,FALSE,FALSE
12,661217,661299,83,892.5,697.2,1419.1,673.3,13.38,"1233.jpg",659603,660008,FALSE,FALSE
12,661569,661627,59,1429.6,673.9,1157.4,467.7,8.68,"1233.jpg",659603,660008,FALSE,FALSE
12,661877,661910,34,1146.2,476.3,1103.6,344.3,3.58,"1233.jpg",659603,660008,FALSE,FALSE
12,662220,662287,68,1077.9,335.3,908.9,758.6,11.75,"1233.jpg",659603,660008,FALSE,FALSE
12,662567,662615,49,902.4,756.2,881.1,554,5.26,"1233.jpg",659603,660008,FALSE,FALSE
13,665164,665182,19,1059.9,311.1,1041.6,263.3,1.31,"1265.jpg",664595,665163,FALSE,FALSE
13,666087,666174,88,1038.9,260.7,894,672.5,11.24,"1265.jpg",664595,665163,FALSE,FALSE
