"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,4740268,4740289,22,957.5,596.3,930.3,670.1,2.04,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4740448,4740500,53,924.8,687.2,724.5,397.5,9.09,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4740765,4740805,41,711.8,418,898.1,302.3,5.64,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4741110,4741157,48,886.1,310.9,1163.6,315.9,7.14,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4741295,4741335,41,1149.6,313.4,904.2,306.4,6.32,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4741578,4741631,54,907.6,303.9,1467.7,394.2,14.31,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4741918,4741969,52,1448.8,388.5,1371.4,842,11.6,"1001.jpg",4739490,4740267,FALSE,FALSE
1,4742453,4742507,55,1377.6,827.8,925.5,821.9,11.45,"1001.jpg",4739490,4740267,FALSE,FALSE
2,4744785,4744804,20,863.9,527.5,803,511.3,1.63,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4744940,4744996,57,798.4,512.8,1323,674.9,14.04,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4745359,4745417,59,1317.8,667.1,927.6,395.1,12.19,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4745597,4745634,38,939.9,400,809.2,497,4.22,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4746265,4746304,40,804.7,493.3,1063.3,397.4,7.13,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4746981,4747044,64,1076.1,380.9,572.5,713.5,15.41,"1006.jpg",4744382,4744784,FALSE,FALSE
2,4747266,4747287,22,572.6,701.1,643.8,665.2,2.02,"1006.jpg",4744382,4744784,FALSE,FALSE
3,4749023,4749042,20,858.6,415.9,881.4,357.2,1.63,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4749234,4749281,48,878.6,356.8,871.5,687.5,8.56,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4749511,4749529,19,871.3,674.7,885.2,723.9,1.32,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4749950,4749987,38,887,720.1,1015,827.5,4.31,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4750203,4750283,81,1005.2,816.6,1293.9,323.1,14.61,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4750452,4750476,25,1286,323.7,1356,260.3,2.39,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4750771,4750797,27,1359.1,247.3,1428.4,312,2.37,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4750871,4750961,91,1419.4,312,928.9,332.9,12.41,"1094.jpg",4748682,4749022,FALSE,FALSE
3,4751274,4751296,23,926.8,322.6,853.3,352.8,2.05,"1094.jpg",4748682,4749022,FALSE,FALSE
4,4753014,4753057,44,895.1,502.8,789.3,341.3,4.99,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4753289,4753300,12,787.8,337.9,789.5,315.3,0.58,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4753513,4753567,55,789,316.3,1331.8,280.1,13.83,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4753730,4753739,10,1313.6,270.9,1311.5,255.1,0.4,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4753940,4753968,29,1308.7,250.6,1306.7,373.7,3.13,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4754235,4754286,52,1308.3,367.8,838.6,392.8,12.01,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4754630,4754668,39,836.9,385.9,723.6,549.7,5.15,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4755023,4755056,34,724.9,544,846.5,395,4.97,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4755224,4755246,23,848.1,362.8,794.7,314.4,1.86,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4755514,4755595,82,784.7,307.9,1205.2,618.7,13.44,"1101.jpg",4752873,4753013,FALSE,FALSE
4,4755883,4755941,59,1195,614.3,736,421.8,12.81,"1101.jpg",4752873,4753013,FALSE,FALSE
5,4757356,4757396,41,903.2,515.8,1048.6,308.4,6.55,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4757481,4757503,23,1047.2,299.4,1078.5,220.8,2.17,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4757629,4757645,17,1082.4,218,1099.3,178.4,1.09,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4758090,4758138,49,1099,185.6,1110.8,598.6,10.59,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4758481,4758499,19,1114.3,590.2,1144.4,551.1,1.28,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4758661,4758693,33,1142.7,540.6,986.2,424.5,5.05,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4758948,4758967,20,979.6,395.6,996.5,345.7,1.36,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4759247,4759304,58,993.5,334.9,1503.2,514.1,13.61,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4759497,4759549,53,1487.3,505.7,1515,252.4,6.38,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4759954,4760000,47,1516.1,240,1147.7,168.8,9.31,"1112.jpg",4757198,4757355,FALSE,FALSE
5,4760179,4760200,22,1149.9,164.1,1094.1,151.2,1.46,"1112.jpg",4757198,4757355,FALSE,FALSE
6,4761851,4761874,24,881,654.1,941.1,742.6,2.77,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4762138,4762206,69,946.6,736.9,915.6,469.1,6.98,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4762579,4762630,52,910.3,478.3,1284.3,716.4,11.4,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4762878,4762897,20,1276.8,710.1,1285,654.8,1.43,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4763051,4763093,43,1284.2,658.3,1072.8,828.2,6.93,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4763282,4763333,52,1074,823.4,1296.6,478,10.52,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4763660,4763712,53,1281.6,485.6,856.4,438.5,10.98,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4764161,4764181,21,858.1,439.1,914,500.6,2.16,"1118.jpg",4761390,4761850,FALSE,FALSE
6,4764392,4764438,47,923.9,501.3,688.4,690.6,7.79,"1118.jpg",4761390,4761850,FALSE,FALSE
7,4765897,4765945,49,909.6,439.2,1156.1,355.3,6.73,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4766514,4766561,48,1150.9,357.5,1456.8,371.8,7.7,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4766725,4766795,71,1439.8,367.7,633.7,409.9,20.23,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4766934,4766953,20,636.8,406.6,594.5,372.3,1.38,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4767508,4767550,43,599.2,375.3,709.8,639.3,7.34,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4767761,4767808,48,704,641.5,984.8,857.5,9.09,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4768043,4768059,17,976.3,850.5,927.5,848.7,1.26,"1132.jpg",4765732,4765896,FALSE,FALSE
7,4768315,4768381,67,933.6,845.2,1181.4,372.6,13.69,"1132.jpg",4765732,4765896,FALSE,FALSE
8,4770207,4770220,14,1097,353.9,1096.5,379.4,0.66,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4770824,4770865,42,1099.3,376.4,1187.3,608.8,6.42,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4771030,4771085,56,1188.3,603.7,673.7,851.4,14.58,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4771266,4771329,64,677.5,846.2,1444.4,855.5,19.13,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4771470,4771488,19,1425.9,847.8,1422.5,794.7,1.33,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4771700,4771756,57,1419.9,796.7,1117.6,379.2,13.09,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4772165,4772242,78,1116.2,384.3,621.7,778.1,16.16,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4772448,4772472,25,626.8,796.5,518.7,780.2,2.74,"1178.jpg",4769782,4770206,FALSE,FALSE
8,4772546,4772615,70,502.9,763.6,1144.4,493,17.63,"1178.jpg",4769782,4770206,FALSE,FALSE
