"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,5686375,5689221,2847,966.3,568.2,"1001.jpg",5686122,FALSE,1
2,5693478,5693674,197,831,526.7,"1006.jpg",5693080,FALSE,1
2,5693686,5696179,2494,810.5,520.8,"1006.jpg",5693080,FALSE,2
3,5702825,5703195,371,869.5,403.3,"1094.jpg",5702505,FALSE,1
3,5703215,5703485,271,866.7,371.3,"1094.jpg",5702505,FALSE,2
3,5703523,5703716,194,877.9,492.3,"1094.jpg",5702505,FALSE,3
3,5703753,5704213,461,884.6,656.5,"1094.jpg",5702505,FALSE,4
3,5704307,5704462,156,1258.1,321.9,"1094.jpg",5702505,FALSE,5
3,5704490,5704710,221,1355.5,296.4,"1094.jpg",5702505,FALSE,6
3,5704755,5704961,207,1170.6,333.1,"1094.jpg",5702505,FALSE,7
3,5705009,5705133,125,918.1,382.5,"1094.jpg",5702505,FALSE,8
3,5705201,5705550,350,872.1,672.5,"1094.jpg",5702505,FALSE,9
4,5708900,5709025,126,805.3,420.2,"1101.jpg",5708488,FALSE,1
4,5709056,5709481,426,775,302.8,"1101.jpg",5708488,FALSE,2
4,5709494,5709678,185,787.5,327.1,"1101.jpg",5708488,FALSE,3
4,5709739,5710472,734,1293.3,318.8,"1101.jpg",5708488,FALSE,4
4,5710491,5710886,396,1316.1,260.8,"1101.jpg",5708488,FALSE,5
4,5710954,5711587,634,807.5,320.4,"1101.jpg",5708488,FALSE,6
5,5715998,5716134,137,1082.5,548.8,"1112.jpg",5715772,FALSE,1
5,5716289,5717512,1224,1106.9,205,"1112.jpg",5715772,FALSE,2
5,5717707,5717963,257,1259.7,685.1,"1112.jpg",5715772,FALSE,3
5,5718063,5718450,388,572.9,655.7,"1112.jpg",5715772,FALSE,4
5,5718498,5718642,145,634.8,478.9,"1112.jpg",5715772,FALSE,5
5,5718688,5718871,184,821.5,328.3,"1112.jpg",5715772,FALSE,6
6,5722693,5723050,358,984.9,527.1,"1118.jpg",5722397,FALSE,1
6,5723074,5723268,195,934.1,539.9,"1118.jpg",5722397,FALSE,2
6,5723336,5723711,376,1270.1,463.4,"1118.jpg",5722397,FALSE,3
6,5723734,5724108,375,1292.7,451.6,"1118.jpg",5722397,FALSE,4
6,5724165,5724295,131,1219.4,695.9,"1118.jpg",5722397,FALSE,5
6,5724347,5724650,304,979.9,766.8,"1118.jpg",5722397,FALSE,6
6,5724688,5724850,163,1155.9,802.9,"1118.jpg",5722397,FALSE,7
6,5724885,5725153,269,1323.1,710,"1118.jpg",5722397,FALSE,8
6,5725223,5725337,115,720.4,640.5,"1118.jpg",5722397,FALSE,9
6,5725375,5725496,122,646.6,625,"1118.jpg",5722397,FALSE,10
7,5728654,5728762,109,1135.4,457.2,"1132.jpg",5728455,FALSE,1
7,5728789,5729346,558,1148.8,377.3,"1132.jpg",5728455,FALSE,2
7,5729418,5729854,437,603.3,365,"1132.jpg",5728455,FALSE,3
7,5729956,5730074,119,1343.8,328,"1132.jpg",5728455,FALSE,4
7,5730111,5730360,250,1439.7,287.1,"1132.jpg",5728455,FALSE,5
7,5730382,5730776,395,1432.6,212.6,"1132.jpg",5728455,FALSE,6
7,5730824,5731134,311,1489.6,430.4,"1132.jpg",5728455,FALSE,7
7,5731199,5731442,244,1187.9,583.1,"1132.jpg",5728455,FALSE,8
8,5733803,5733953,151,1052.5,513,"1178.jpg",5733638,FALSE,1
8,5733994,5734165,172,1134.8,445.6,"1178.jpg",5733638,FALSE,2
8,5734176,5734550,375,1121.6,433.6,"1178.jpg",5733638,FALSE,3
8,5734611,5734725,115,706.2,642.9,"1178.jpg",5733638,FALSE,4
8,5734776,5735047,272,503.1,777.9,"1178.jpg",5733638,FALSE,5
8,5735084,5735368,285,436.4,787.2,"1178.jpg",5733638,FALSE,6
8,5735393,5735677,285,414.2,753.2,"1178.jpg",5733638,FALSE,7
8,5735716,5735848,133,512,806.6,"1178.jpg",5733638,FALSE,8
8,5735878,5736262,385,643.8,839.3,"1178.jpg",5733638,FALSE,9
8,5736312,5736566,255,441.5,674.8,"1178.jpg",5733638,FALSE,10
9,5739849,5740066,218,1016.7,511.8,"1188.jpg",5739738,FALSE,1
9,5740114,5740216,103,1088.8,364.8,"1188.jpg",5739738,FALSE,2
9,5740260,5740761,502,1064.9,233.6,"1188.jpg",5739738,FALSE,3
9,5740933,5741097,165,1302.6,502.7,"1188.jpg",5739738,FALSE,4
9,5741138,5741281,144,1066.3,613.8,"1188.jpg",5739738,FALSE,5
