"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,3425431,3425757,327,700.3,429.8,"1001.jpg",3424404,FALSE,1
1,3425803,3426128,326,909.3,341.6,"1001.jpg",3424404,FALSE,2
1,3426166,3426321,156,1117.8,341.3,"1001.jpg",3424404,FALSE,3
1,3426381,3426895,515,1391.7,725.9,"1001.jpg",3424404,FALSE,4
1,3426949,3427123,175,1072.4,617.7,"1001.jpg",3424404,FALSE,5
1,3427188,3427412,225,803.5,388.5,"1001.jpg",3424404,FALSE,6
2,3432907,3433080,174,857.6,512.2,"1006.jpg",3432545,FALSE,1
2,3433118,3433323,206,679.4,673.4,"1006.jpg",3432545,FALSE,2
2,3433349,3433453,105,631.6,685.5,"1006.jpg",3432545,FALSE,3
2,3433496,3434005,510,809.1,507.3,"1006.jpg",3432545,FALSE,4
2,3434053,3434447,395,651.9,677.1,"1006.jpg",3432545,FALSE,5
2,3434663,3434847,185,808.5,469.5,"1006.jpg",3432545,FALSE,6
2,3434866,3435000,135,795.5,502.6,"1006.jpg",3432545,FALSE,7
2,3435061,3435395,335,1387.5,700,"1006.jpg",3432545,FALSE,8
2,3435473,3435616,144,1295.2,185.2,"1006.jpg",3432545,FALSE,9
3,3439025,3439162,138,902.7,439.7,"1094.jpg",3438795,FALSE,1
3,3439181,3439434,254,866.6,386.9,"1094.jpg",3438795,FALSE,2
3,3439455,3439838,384,890.5,360.2,"1094.jpg",3438795,FALSE,3
3,3439891,3440098,208,908.8,690.4,"1094.jpg",3438795,FALSE,4
3,3440307,3440551,245,888.2,689.9,"1094.jpg",3438795,FALSE,5
3,3440636,3440927,292,1038.4,279.3,"1094.jpg",3438795,FALSE,6
3,3440979,3441189,211,1377.2,285.9,"1094.jpg",3438795,FALSE,7
3,3441216,3441442,227,1456.8,265.8,"1094.jpg",3438795,FALSE,8
3,3441534,3441780,247,654.3,318.6,"1094.jpg",3438795,FALSE,9
4,3445947,3446053,107,765.5,433,"1101.jpg",3445595,FALSE,1
4,3446088,3446253,166,774,303.8,"1101.jpg",3445595,FALSE,2
4,3446417,3446548,132,1337.3,285.6,"1101.jpg",3445595,FALSE,3
4,3446569,3446809,241,1314.3,276.1,"1101.jpg",3445595,FALSE,4
4,3446873,3447045,173,786.7,461,"1101.jpg",3445595,FALSE,5
4,3447094,3447206,113,769.1,454.6,"1101.jpg",3445595,FALSE,6
4,3447252,3447510,259,1296.1,520.3,"1101.jpg",3445595,FALSE,7
4,3447565,3447669,105,1225.5,269.8,"1101.jpg",3445595,FALSE,8
4,3447739,3447993,255,787.9,291.5,"1101.jpg",3445595,FALSE,9
4,3448043,3448353,311,579.4,318.6,"1101.jpg",3445595,FALSE,10
4,3448415,3448581,167,731.9,714.1,"1101.jpg",3445595,FALSE,11
5,3451769,3451934,166,1108.1,580.7,"1112.jpg",3451537,FALSE,1
5,3451989,3452182,194,1102.4,226.3,"1112.jpg",3451537,FALSE,2
5,3452196,3452414,219,1090.7,206,"1112.jpg",3451537,FALSE,3
5,3452423,3452669,247,1089.1,188.4,"1112.jpg",3451537,FALSE,4
5,3452729,3452891,163,1313,628.6,"1112.jpg",3451537,FALSE,5
5,3452916,3453082,167,1284.9,700,"1112.jpg",3451537,FALSE,6
5,3453099,3453363,265,1266.6,715,"1112.jpg",3451537,FALSE,7
5,3453432,3453919,488,1504.8,263.5,"1112.jpg",3451537,FALSE,8
5,3454005,3454205,201,745.6,727.8,"1112.jpg",3451537,FALSE,9
