"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,4109295,4109806,512,989.1,513.1,"1001.jpg",4109356,FALSE,1
1,4109842,4110012,171,875.5,632.8,"1001.jpg",4109356,FALSE,2
1,4110059,4110244,186,909.8,374.9,"1001.jpg",4109356,FALSE,3
1,4110263,4110499,237,913.9,328.6,"1001.jpg",4109356,FALSE,4
1,4110539,4110798,260,675.3,421.6,"1001.jpg",4109356,FALSE,5
1,4110851,4111080,230,1148.4,671.6,"1001.jpg",4109356,FALSE,6
1,4111115,4111279,165,971.2,630.7,"1001.jpg",4109356,FALSE,7
1,4111307,4111629,323,866.1,615.8,"1001.jpg",4109356,FALSE,8
1,4111655,4112384,730,969.8,568.6,"1001.jpg",4109356,FALSE,9
2,4114097,4114391,295,963.3,498.3,"1006.jpg",4114123,FALSE,1
2,4114422,4114556,135,876.3,436,"1006.jpg",4114123,FALSE,2
2,4114582,4115234,653,799.6,493.8,"1006.jpg",4114123,FALSE,3
2,4115288,4115474,187,1160.9,613.6,"1006.jpg",4114123,FALSE,4
2,4115541,4116147,607,754.3,566.2,"1006.jpg",4114123,FALSE,5
2,4116167,4116450,284,771.3,525.4,"1006.jpg",4114123,FALSE,6
2,4116464,4116945,482,793.1,507.1,"1006.jpg",4114123,FALSE,7
2,4116961,4117222,262,808.2,493.2,"1006.jpg",4114123,FALSE,8
3,4120807,4121054,248,908.1,621.7,"1094.jpg",4120606,FALSE,1
3,4121080,4121593,514,897.3,725.8,"1094.jpg",4120606,FALSE,2
3,4121615,4121719,105,878.3,670.3,"1094.jpg",4120606,FALSE,3
3,4121764,4121895,132,897.6,302.3,"1094.jpg",4120606,FALSE,4
3,4121914,4122378,465,881.6,353.6,"1094.jpg",4120606,FALSE,5
3,4122409,4122743,335,1035.1,453,"1094.jpg",4120606,FALSE,6
3,4122772,4123376,605,926.1,462.6,"1094.jpg",4120606,FALSE,7
3,4123404,4123705,302,1007,522.3,"1094.jpg",4120606,FALSE,8
4,4124640,4124883,244,959.2,502,"1101.jpg",4124723,FALSE,1
4,4124922,4125125,204,836.6,346.7,"1101.jpg",4124723,FALSE,2
4,4125146,4125530,385,797.6,301.7,"1101.jpg",4124723,FALSE,3
4,4125554,4125699,146,878.8,339.8,"1101.jpg",4124723,FALSE,4
4,4125745,4126659,915,1325.1,364.6,"1101.jpg",4124723,FALSE,5
4,4126714,4127242,529,721.5,355.9,"1101.jpg",4124723,FALSE,6
5,4129860,4130054,195,928.6,515,"1112.jpg",4129881,FALSE,1
5,4130093,4130264,172,1063.4,380.5,"1112.jpg",4129881,FALSE,2
5,4130286,4130577,292,1007.3,361.6,"1112.jpg",4129881,FALSE,3
