"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,4739869,4740267,399,957.7,585.4,"1001.jpg",4739490,FALSE,1
1,4740290,4740447,158,927.7,681.5,"1001.jpg",4739490,FALSE,2
1,4740501,4740764,264,716.8,410.3,"1001.jpg",4739490,FALSE,3
1,4740806,4741109,304,889.4,307.5,"1001.jpg",4739490,FALSE,4
1,4741158,4741294,137,1150.9,314.8,"1001.jpg",4739490,FALSE,5
1,4741336,4741577,242,908.5,303.7,"1001.jpg",4739490,FALSE,6
1,4741632,4741917,286,1447.5,388.3,"1001.jpg",4739490,FALSE,7
1,4741970,4742452,483,1374.8,829.5,"1001.jpg",4739490,FALSE,8
2,4744604,4744784,181,868.5,526.5,"1006.jpg",4744382,FALSE,1
2,4744805,4744939,135,799.3,510.7,"1006.jpg",4744382,FALSE,2
2,4744997,4745358,362,1314.8,667.1,"1006.jpg",4744382,FALSE,3
2,4745418,4745596,179,937.6,397.1,"1006.jpg",4744382,FALSE,4
2,4745635,4746264,630,808.5,492.1,"1006.jpg",4744382,FALSE,5
2,4746305,4746980,676,1071.8,387.2,"1006.jpg",4744382,FALSE,6
2,4747045,4747265,221,574.8,704,"1006.jpg",4744382,FALSE,7
2,4747288,4747481,194,641.2,673.6,"1006.jpg",4744382,FALSE,8
3,4748892,4749022,131,856.3,420.4,"1094.jpg",4748682,FALSE,1
3,4749043,4749233,191,879.4,355,"1094.jpg",4748682,FALSE,2
3,4749282,4749510,229,871.5,678.1,"1094.jpg",4748682,FALSE,3
3,4749530,4749949,420,886.4,720.1,"1094.jpg",4748682,FALSE,4
3,4749988,4750202,215,1007.3,817.2,"1094.jpg",4748682,FALSE,5
3,4750284,4750451,168,1290.1,322.2,"1094.jpg",4748682,FALSE,6
3,4750477,4750770,294,1362.3,247.7,"1094.jpg",4748682,FALSE,7
3,4750962,4751273,312,926.9,324,"1094.jpg",4748682,FALSE,8
3,4751297,4751781,485,861.7,344.1,"1094.jpg",4748682,FALSE,9
4,4752779,4753013,235,897.4,504.9,"1101.jpg",4752873,FALSE,1
4,4753058,4753288,231,788.2,338.8,"1101.jpg",4752873,FALSE,2
4,4753301,4753512,212,788,316.7,"1101.jpg",4752873,FALSE,3
4,4753568,4753729,162,1316.6,274.7,"1101.jpg",4752873,FALSE,4
4,4753740,4753939,200,1307,253.6,"1101.jpg",4752873,FALSE,5
4,4753969,4754234,266,1307,367.4,"1101.jpg",4752873,FALSE,6
4,4754287,4754629,343,838.2,386.3,"1101.jpg",4752873,FALSE,7
4,4754669,4755022,354,722.3,546.4,"1101.jpg",4752873,FALSE,8
4,4755057,4755223,167,848.8,364.7,"1101.jpg",4752873,FALSE,9
4,4755247,4755513,267,784.4,306.1,"1101.jpg",4752873,FALSE,10
4,4755596,4755882,287,1192.8,616.7,"1101.jpg",4752873,FALSE,11
5,4757132,4757355,224,900.4,515.8,"1112.jpg",4757198,FALSE,1
5,4757504,4757628,125,1080.2,215.8,"1112.jpg",4757198,FALSE,2
5,4757646,4758089,444,1098.4,181.2,"1112.jpg",4757198,FALSE,3
5,4758139,4758480,342,1112.6,589.7,"1112.jpg",4757198,FALSE,4
5,4758500,4758660,161,1143,540.9,"1112.jpg",4757198,FALSE,5
5,4758694,4758947,254,978.6,401.6,"1112.jpg",4757198,FALSE,6
5,4758968,4759246,279,994.3,338.2,"1112.jpg",4757198,FALSE,7
5,4759305,4759496,192,1490,507.1,"1112.jpg",4757198,FALSE,8
5,4759550,4759953,404,1513.9,242.6,"1112.jpg",4757198,FALSE,9
5,4760001,4760178,178,1151.2,164.7,"1112.jpg",4757198,FALSE,10
6,4761689,4761850,162,878.8,654.5,"1118.jpg",4761390,FALSE,1
6,4761875,4762137,263,945.3,740.2,"1118.jpg",4761390,FALSE,2
6,4762207,4762578,372,912.9,475.9,"1118.jpg",4761390,FALSE,3
6,4762631,4762877,247,1274.2,708.3,"1118.jpg",4761390,FALSE,4
6,4762898,4763050,153,1283.5,656.9,"1118.jpg",4761390,FALSE,5
6,4763094,4763281,188,1075.1,823.2,"1118.jpg",4761390,FALSE,6
6,4763334,4763659,326,1281.8,481.1,"1118.jpg",4761390,FALSE,7
6,4763713,4764160,448,862.6,436.3,"1118.jpg",4761390,FALSE,8
6,4764182,4764391,210,923.3,501.7,"1118.jpg",4761390,FALSE,9
7,4765635,4765896,262,908.1,440.5,"1132.jpg",4765732,FALSE,1
7,4765946,4766513,568,1153,358.5,"1132.jpg",4765732,FALSE,2
7,4766562,4766724,163,1440.5,367.3,"1132.jpg",4765732,FALSE,3
7,4766796,4766933,138,635.6,407.8,"1132.jpg",4765732,FALSE,4
7,4766954,4767507,554,598.6,371.7,"1132.jpg",4765732,FALSE,5
7,4767551,4767760,210,707,640.8,"1132.jpg",4765732,FALSE,6
7,4767809,4768042,234,979.6,850.5,"1132.jpg",4765732,FALSE,7
7,4768060,4768314,255,929.1,847.3,"1132.jpg",4765732,FALSE,8
7,4768382,4768831,450,1171.5,365.4,"1132.jpg",4765732,FALSE,9
8,4769987,4770206,220,1095.6,348.8,"1178.jpg",4769782,FALSE,1
8,4770221,4770823,603,1098.8,375.8,"1178.jpg",4769782,FALSE,2
8,4770866,4771029,164,1186.9,601.5,"1178.jpg",4769782,FALSE,3
8,4771086,4771265,180,678.3,847.6,"1178.jpg",4769782,FALSE,4
8,4771330,4771469,140,1429.3,848.4,"1178.jpg",4769782,FALSE,5
8,4771489,4771699,211,1421.1,798.5,"1178.jpg",4769782,FALSE,6
8,4771757,4772164,408,1113.9,383.1,"1178.jpg",4769782,FALSE,7
8,4772243,4772447,205,625.8,798,"1178.jpg",4769782,FALSE,8
8,4772616,4772881,266,1137,494.2,"1178.jpg",4769782,FALSE,9
9,4775080,4775234,155,715.4,479.4,"1188.jpg",4774782,FALSE,1
9,4775291,4775448,158,1274.5,483.1,"1188.jpg",4774782,FALSE,2
9,4775460,4775633,174,1301.2,486.3,"1188.jpg",4774782,FALSE,3
9,4775684,4776058,375,1048.3,269.9,"1188.jpg",4774782,FALSE,4
9,4776111,4776616,506,1298.3,504.8,"1188.jpg",4774782,FALSE,5
9,4776661,4776822,162,1055.6,647,"1188.jpg",4774782,FALSE,6
9,4776846,4777075,230,1102.6,579.6,"1188.jpg",4774782,FALSE,7
9,4777128,4777272,145,701.9,514,"1188.jpg",4774782,FALSE,8
9,4777292,4777520,229,700.2,464.6,"1188.jpg",4774782,FALSE,9
9,4777573,4777881,309,1077.2,236.8,"1188.jpg",4774782,FALSE,10
10,4779871,4780012,142,877.6,553.7,"1226.jpg",4779690,FALSE,1
10,4780032,4780247,216,921.2,550,"1226.jpg",4779690,FALSE,2
10,4780273,4780586,314,779.4,515.2,"1226.jpg",4779690,FALSE,3
10,4780611,4780738,128,790.9,602.7,"1226.jpg",4779690,FALSE,4
10,4780775,4780959,185,928.8,567.3,"1226.jpg",4779690,FALSE,5
10,4781125,4781315,191,1404.8,689.8,"1226.jpg",4779690,FALSE,6
10,4781328,4781668,341,1407.5,662.2,"1226.jpg",4779690,FALSE,7
10,4781726,4781910,185,840.2,696.4,"1226.jpg",4779690,FALSE,8
10,4781936,4782209,274,775.8,768.1,"1226.jpg",4779690,FALSE,9
10,4782234,4782493,260,731.2,894.3,"1226.jpg",4779690,FALSE,10
10,4782554,4782735,182,766.5,528.2,"1226.jpg",4779690,FALSE,11
11,4784453,4784885,433,776,378.4,"1227.jpg",4784249,FALSE,1
11,4784944,4785162,219,531.3,797.4,"1227.jpg",4784249,FALSE,2
11,4785216,4785493,278,1024.6,789.7,"1227.jpg",4784249,FALSE,3
11,4785535,4785794,260,858.1,888.5,"1227.jpg",4784249,FALSE,4
11,4785850,4786037,188,1329.9,810.3,"1227.jpg",4784249,FALSE,5
11,4786098,4786285,188,790.7,539.7,"1227.jpg",4784249,FALSE,6
11,4786326,4786511,186,784.8,348.6,"1227.jpg",4784249,FALSE,7
11,4786527,4786892,366,779.6,388.7,"1227.jpg",4784249,FALSE,8
11,4786953,4787149,197,1168.5,608.4,"1227.jpg",4784249,FALSE,9
